species,latitude,longitude,taxa,icmbio.cat
Boana buriti,-15.776,-47.7978,Amphibians,VU
Boana buriti,-15.4415,-46.5996,Amphibians,VU
Boana buriti,-16.0686,-46.6112,Amphibians,VU
Boana buriti,-15.4529,-46.6042,Amphibians,VU
Boana buriti,-17.1087,-46.8719,Amphibians,VU
Boana buriti,-16.0946,-47.9852,Amphibians,VU
Bokermannohyla napolii,-19.2,-47.1333,Amphibians,VU
Bokermannohyla napolii,-19.3265,-45.9757,Amphibians,VU
Bokermannohyla napolii,-19.2676,-46.0337,Amphibians,VU
Crossodactylus franciscanus*,-20.7167,-46.6167,Amphibians,CR
Crossodactylus franciscanus*,-20.2167,-46.3667,Amphibians,CR
Scinax pinimus,-19.4405,-43.7183,Amphibians,VU
Scinax pinimus,-19.1888,-43.645,Amphibians,VU
